;word;type;emotT;emotPT;X;
3402;Маниакальный ;0;ВЛЕЧЕНИЕ; 6.6. Эмоциональная характеризация.;pos;
3404;Маниловщина; книжн. ;НАДЕЖДА; 20.7. Эмоциональное качество.;pos;
3405;Мания ;0;ЛЮБОВЬ; 18.2. Эмоциональное отношение.;pos;
3406;Мания; неодобр. ;ВЛЕЧЕНИЕ; 6.1. Эмоциональное состояние.;pos;
3407;Манкирование; устар. ;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
3408;Манкировать; несов. и сов., устар. ;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
3409;Манкировка; устар. ;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
3414;Манящий; книжн. ;ВЛЕЧЕНИЕ; 6.4. Эмоциональное воздействие.;pos;
3415;Манящий; книжн. ;ВЛЕЧЕНИЕ; 6.6. Эмоциональная характеризация.;pos;
3426;Меднолобый; разг. ;НАСТОЙЧИВОСТЬ; 21.6. Эмоциональная характеризация.;pos;
3430;Медоточивый ;0;НЕИСКРЕННОСТЬ; 24.5. Внешнее выражение эмоций.;neg;
3431;Медоточивый ;0;НЕИСКРЕННОСТЬ; 24.6. Эмоциональная характеризация.;neg;
3432;Меланхолик ;0;ГРУСТЬ; 10.8. Человек как средоточие и носитель эмоций.;neg;
3433;Меланхолически ;0;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3434;Меланхолический ;0;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3435;Меланхолический ;0;ГРУСТЬ; 10.4. Эмоциональное воздействие.;neg;
3436;Меланхолический ;0;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3437;Меланхолический ;0;ГРУСТЬ; 10.6. Эмоциональная характеризация.;neg;
3438;Меланхоличка ;0;ГРУСТЬ; 10.8. Человек как средоточие и носитель эмоций.;neg;
3439;Меланхолично ;0;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3440;Меланхоличность ;0;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3441;Меланхоличность ;0;ГРУСТЬ; 10.7. Эмоциональное качество.;neg;
3442;Меланхоличный ;0;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3443;Меланхоличный ;0;ГРУСТЬ; 10.4. Эмоциональное воздействие.;neg;
3444;Меланхоличный ;0;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3445;Меланхоличный ;0;ГРУСТЬ; 10.6. Эмоциональная характеризация.;neg;
3446;Меланхолия ;0;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3448;Мельтешня; разг.-сниж. ;БЕСПОКОЙСТВО; 1.5. Внешнее выражение эмоций.;neg;
3449;Мерехлюндия; устар. ;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3450;Мерзавец; разг. ;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
3451;Мерзавец; разг. ;НЕПРИЯЗНЬ; 25.8. Человек как средоточие и носитель эмоций.;neg;
3452;Мерзавка; разг.-сниж. ;НЕПРИЯЗНЬ; 25.8. Человек как средоточие и носитель эмоций.;neg;
3453;Мерзить; разг.-сниж. ;НЕПРИЯЗНЬ; 25.4. Эмоциональное воздействие.;neg;
3454;Мерзкий; разг. ;НЕПРИЯЗНЬ; 25.4. Эмоциональное воздействие.;neg;
3455;Мерзкий; разг. ;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
3456;Мерзко; разг. ;НЕПРИЯЗНЬ; 25.1. Эмоциональное состояние.;neg;
3457;Мерзопакостно ;0;НЕПРИЯЗНЬ; 25.1. Эмоциональное состояние.;neg;
3458;Мерзопакостный; разг. ;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
3459;Мерзостно ;0;НЕПРИЯЗНЬ; 25.1. Эмоциональное состояние.;neg;
3460;Мерзостный ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
3461;Мерзость ;0;НЕПРИЯЗНЬ; 25.7. Эмоциональное качество.;neg;
3465;Месть ;0;ЖЕСТОКОСТЬ; 15.5. Внешнее выражение эмоций.;neg;
3466;Месть ;0;ЗЛОСТЬ; 16.5. Внешнее выражение эмоций.;neg;
3471;Мечта ;0;ЖЕЛАНИЕ; 14.1. Эмоциональное состояние.;pos;
3472;Мечта ;0;НАДЕЖДА; 20.1. Эмоциональное состояние.;pos;
3473;Мечта ;0;НАДЕЖДА; 20.2. Эмоциональное отношение.;pos;
3474;Мечтание ;0;НАДЕЖДА; 20.1. Эмоциональное состояние.;pos;
3475;Мечтатель ;0;НАДЕЖДА; 20.8. Человек как средоточие и носитель эмоций.;pos;
3476;Мечтательно ;0;НАДЕЖДА; 20.5. Внешнее выражение эмоций.;pos;
3477;Мечтательность ;0;ЖЕЛАНИЕ; 14.7. Эмоциональное качество.;pos;
3478;Мечтательность ;0;НАДЕЖДА; 20.7. Эмоциональное качество.;pos;
3479;Мечтательный ;0;ЖЕЛАНИЕ; 14.6. Эмоциональная характеризация.;pos;
3480;Мечтательный ;0;НАДЕЖДА; 20.6. Эмоциональная характеризация.;pos;
3481;Мечтать ;0;НАДЕЖДА; 20.2. Эмоциональное отношение.;pos;
3483;Мизантроп; книжн. ;НЕПРИЯЗНЬ; 25.8. Человек как средоточие и носитель эмоций.;neg;
3484;Мизантропический; книжн. ;НЕПРИЯЗНЬ; 25.1. Эмоциональное состояние.;neg;
3485;Мизантропический; книжн. ;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
3486;Мизантропия; книжн. ;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
3487;Мизантропия; книжн. ;НЕПРИЯЗНЬ; 25.7. Эмоциональное качество.;neg;
3488;Мизерабельный; устар. ;ЖАЛОСТЬ; 13.4. Эмоциональное воздействие.;neg;
3489;Мизерабельный; устар. ;ЖАЛОСТЬ; 13.6. Эмоциональная характеризация.;neg;
3490;Милаша; разг. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3491;Милашка; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3492;Милая; разг. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3493;Миленок; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3494;Миленочек; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3495;Миленький ;0;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
3496;Миленький ;0;ЛЮБОВЬ; 18.6. Эмоциональная характеризация.;pos;
3497;Миленький; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3498;Милка; разг. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3499;Мило ;0;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
3500;Миловать; разг.-сниж. ;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
3501;Миловаться ;0;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
3502;Милок; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3515;Милостивец; устар. ;ДОБРОТА; 11.8. Человек как средоточие и носитель эмоций.;pos;
3516;Милостивица; устар. ;ДОБРОТА; 11.8. Человек как средоточие и носитель эмоций.;pos;
3517;Милостиво; устар. ;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
3518;Милостивый; устар. ;ДОБРОТА; 11.2. Эмоциональное отношение.;pos;
3519;Милостивый; устар. ;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
3522;Милушка; трад.-поэт. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3523;Милый ;0;ВЛЕЧЕНИЕ; 6.6. Эмоциональная характеризация.;pos;
3524;Милый ;0;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
3525;Милый ;0;ЛЮБОВЬ; 18.6. Эмоциональная характеризация.;pos;
3526;Милый ;0;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3527;Милый ;0;ОДОБРЕНИЕ; 28.6. Эмоциональная характеризация.;pos;
3528;Миляга; разг.-сниж. ;ВЛЕЧЕНИЕ; 6.8. Человек как средоточие и носитель эмоций.;pos;
3529;Миляга; разг.-сниж. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3540;Мирволить; устар. ;ДОБРОТА; 11.2. Эмоциональное отношение.;pos;
3541;Мирительный; разг. ;СПОКОЙСТВИЕ; 33.2. Эмоциональное отношение.;pos;
3542;Мирить ;0;ДРУЖБА; 12.4. Эмоциональное воздействие.;pos;
3543;Мирить ;0;СМИРЕНИЕ; 31.4. Эмоциональное воздействие.;pos;
3544;Мириться ;0;СМИРЕНИЕ; 31.3. Становление эмоционального состояния и отношения.;pos;
3545;Мирно ;0;СПОКОЙСТВИЕ; 33.1. Эмоциональное состояние.;pos;
3546;Мирно ;0;СПОКОЙСТВИЕ; 33.5. Внешнее выражение эмоций.;pos;
3547;Мирный ;0;ДРУЖБА; 12.1. Эмоциональное состояние.;pos;
3548;Мирный ;0;ДРУЖБА; 12.6. Эмоциональная характеризация.;pos;
3549;Мирный ;0;СПОКОЙСТВИЕ; 33.1. Эмоциональное состояние.;pos;
3550;Мирный ;0;СПОКОЙСТВИЕ; 33.6. Эмоциональная характеризация.;pos;
3551;Мирово; разг.-сниж. ;УДИВЛЕНИЕ; 38.5. Внешнее выражение эмоций.;pos;
3552;Миролюбиво ;0;СПОКОЙСТВИЕ; 33.5. Внешнее выражение эмоций.;pos;
3553;Миролюбивый ;0;ДРУЖБА; 12.1. Эмоциональное состояние.;pos;
3554;Миролюбивый ;0;ДРУЖБА; 12.6. Эмоциональная характеризация.;pos;
3555;Миролюбивый ;0;СПОКОЙСТВИЕ; 33.2. Эмоциональное отношение.;pos;
3556;Миролюбивый ;0;СПОКОЙСТВИЕ; 33.6. Эмоциональная характеризация.;pos;
3557;Миролюбие ;0;ДРУЖБА; 12.7. Эмоциональное качество.;pos;
3558;Миролюбие ;0;СПОКОЙСТВИЕ; 33.7. Эмоциональное качество.;pos;
3559;Миротворный ;0;СПОКОЙСТВИЕ; 33.2. Эмоциональное отношение.;pos;
3560;Миротворчество ;0;СПОКОЙСТВИЕ; 33.5. Внешнее выражение эмоций.;pos;
3567;Мнительность ;0;НЕВЕРИЕ; 22.7. Эмоциональное качество.;neg;
3568;Мнительность ;0;СОМНЕНИЕ; 32.7. Эмоциональное качество.;neg;
3569;Мнительный ;0;НЕВЕРИЕ; 22.1. Эмоциональное состояние.;neg;
3570;Мнительный ;0;НЕВЕРИЕ; 22.6. Эмоциональная характеризация.;neg;
3571;Мнительный ;0;СОМНЕНИЕ; 32.1. Эмоциональное состояние.;neg;
3572;Мнительный ;0;СОМНЕНИЕ; 32.6. Эмоциональная характеризация.;neg;
3573;Мнить; устар. ;НАДЕЖДА; 20.2. Эмоциональное отношение.;pos;
3574;Многострадальный ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3575;Многострадальный ;0;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
3576;Многотерпеливость; устар. ;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
3577;Многотерпеливый; устар. ;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
3578;Многоуважаемый ;0;УВАЖЕНИЕ; 37.2. Эмоциональное отношение.;pos;
3579;Многоуважаемый ;0;УВАЖЕНИЕ; 37.6. Эмоциональная характеризация.;pos;
3580;Могутный;разг.-сниж. ;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
3582;Может; разг. ;НАДЕЖДА; 20.2. Эмоциональное отношение.;pos;
3585;Молодецкий; разг. ;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
3586;Молодечество ;0;БЕССТРАШИЕ; 2.7. Эмоциональное качество.;pos;
3593;Моральный ;0;ЧУВСТВО; 39.6. Эмоциональная характеризация.;pos;
3596;Мразь; разг., презр. ;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
3597;Мразь; разг., презр. ;НЕПРИЯЗНЬ; 25.8. Человек как средоточие и носитель эмоций.;neg;
3600;Мрачить; сов., устар. ;ГРУСТЬ; 10.4. Эмоциональное воздействие.;neg;
3609;Мстивый; разг.-сниж. ;ЗЛОСТЬ; 16.6. Эмоциональная характеризация.;neg;
3610;Мстительность ;0;ЗЛОСТЬ; 16.7. Эмоциональное качество.;neg;
3611;Мстительный ;0;ЗЛОСТЬ; 16.1. Эмоциональное состояние.;neg;
3612;Мстительный ;0;ЗЛОСТЬ; 16.6. Эмоциональная характеризация.;neg;
3613;Мстить ;0;ЗЛОСТЬ; 16.5. Внешнее выражение эмоций.;neg;
3614;Мстить ;0;ОБИДА; 26.2. Эмоциональное отношение.;neg;
3615;Мужаться ;0;БЕССТРАШИЕ; 2.3. Становление эмоционального состояния и отношения.;pos;
3616;Мужененавистнический ;0;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
3617;Мужественно ;0;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
3618;Мужественность ;0;БЕССТРАШИЕ; 2.7. Эмоциональное качество.;pos;
3619;Мужественный ;0;БЕССТРАШИЕ; 2.1. Эмоциональное состояние.;pos;
3620;Мужественный ;0;БЕССТРАШИЕ; 2.6. Эмоциональная характеризация.;pos;
3621;Мужество ;0;БЕССТРАШИЕ; 2.7. Эмоциональное качество.;pos;
3624;Мука ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3625;Мурыжить; разг.-сниж. ;ГОРЕ; 9.4. Эмоциональное воздействие.;neg;
3630;Муторно; разг. ;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3632;Муторный; разг. ;ГРУСТЬ; 10.4. Эмоциональное воздействие.;neg;
3633;Муторный; разг. ;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3634;Муторный; разг. ;НЕДОВОЛЬСТВО; 23.6. Эмоциональная характеризация.;neg;
3635;Мучать; разг. ;ГОРЕ; 9.4. Эмоциональное воздействие.;neg;
3636;Мучение ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3638;Мученик ;0;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
3639;Мученица ;0;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
3640;Мученический ;0;ГОРЕ; 9.5. Внешнее выражение эмоций.;neg;
3641;Мученический ;0;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
3642;Мученичество ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3643;Мучитель ;0;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
3644;Мучитель ;0;ЖЕСТОКОСТЬ; 15.8. Человек как средоточие и носитель эмоций.;neg;
3645;Мучительница ;0;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
3646;Мучительно ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3647;Мучительно ;0;СТРАХ; 34.5. Внешнее выражение эмоций.;neg;
3648;Мучительность ;0;ГОРЕ; 9.7. Эмоциональное качество.;neg;
3649;Мучительный ;0;ГОРЕ; 9.4. Эмоциональное воздействие.;neg;
3650;Мучительный ;0;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
3651;Мучительный ;0;СТРАХ; 34.6. Эмоциональная характеризация.;neg;
3652;Мучительство ;0;ГОРЕ; 9.4. Эмоциональное воздействие.;neg;
3653;Мщение ;0;ЖЕСТОКОСТЬ; 15.5. Внешнее выражение эмоций.;neg;
3654;Мщение ;0;ЗЛОСТЬ; 16.5. Внешнее выражение эмоций.;neg;
3655;Мымра; ;ГРУСТЬ; 10.8. Человек как средоточие и носитель эмоций.;neg;
3656;Мытарство; разг.-сниж. ;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3661;Мягкосердечие ;0;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
3662;Мягкосердечно ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
3663;Мягкосердечность ;0;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
3664;Мягкосердечный ;0;ДОБРОТА; 11.1. Эмоциональное состояние.;pos;
3665;Мягкосердечный ;0;ДОБРОТА; 11.2. Эмоциональное отношение.;pos;
3666;Мягкосердечный ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
3667;Мягкосердый; устар. ;ДОБРОТА; 11.2. Эмоциональное отношение.;pos;
3668;Мягкосердый; устар. ;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
3671;Мягкотелость; разг., пренебр. ;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
3672;Мягкотелость; разг., пренебр. ;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
3673;Мягкотелый; разг., пренебр. ;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
3680;Набалованный ;0;ДОБРОТА; 11.1. Эмоциональное состояние.;pos;
3684;Набедоваться ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3685;Набедствоваться ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3686;Набузить; разг. ;НЕПРИЯЗНЬ; 25.5. Внешнее выражение эмоций.;neg;
3687;Набычиться; сов., разг.-сниж. ;ГРУСТЬ; 10.3. Становление эмоционального состояния и отношения.;neg;
3688;Навеселиться; сов. ;РАДОСТЬ; 30.3. Становление эмоционального состояния и отношения.;pos;
3689;Навидаться; сов., разг. ;ГРУСТЬ; 10.3. Становление эмоционального состояния и отношения.;neg;
3690;Наволноваться; сов. ;БЕСПОКОЙСТВО; 1.3. Становление эмоционального состояния и отношения.;neg;
3691;Навязчиво ;0;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3699;Наглец; разг. ;БЕССТЫДСТВО; 3.8. Человек как средоточие и носитель эмоций.;neg;
3700;Нагло ;0;БЕССТЫДСТВО; 3.5. Внешнее выражение эмоций.;neg;
3701;Наглость ;0;БЕССТЫДСТВО; 3.7. Эмоциональное качество.;neg;
3702;Наглость ;0;ВЫСОКОМЕРИЕ; 8.7. Эмоциональное качество.;neg;
3703;Наглый ;0;БЕССТЫДСТВО; 3.6. Эмоциональная характеризация.;neg;
3704;Наглый ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
3705;Наглый ;0;ВЫСОКОМЕРИЕ; 8.6. Эмоциональная характеризация.;neg;
3706;Надежда ;0;НАДЕЖДА; 20.1. Эмоциональное состояние.;pos;
3707;Надежда ;0;НАДЕЖДА; 20.2. Эмоциональное отношение.;pos;
3708;Надежность ;0;ВЕРА; 5.7. Эмоциональное качество.;pos;
3709;Надежный ;0;ВЕРА; 5.6. Эмоциональная характеризация.;pos;
3710;Надежный ;0;НАДЕЖДА; 20.6. Эмоциональная характеризация.;pos;
3711;Надивить ;0;УДИВЛЕНИЕ; 38.4. Эмоциональное воздействие.;pos;
3712;Надивиться ;0;УДИВЛЕНИЕ; 38.3. Становление эмоционального состояния и отношения.;pos;
3713;Надивоваться ;0;УДИВЛЕНИЕ; 38.3. Становление эмоционального состояния и отношения.;pos;
3718;Надменно ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
3719;Надменность ;0;ВЫСОКОМЕРИЕ; 8.7. Эмоциональное качество.;neg;
3720;Надменный ;0;ВЫСОКОМЕРИЕ; 8.2. Эмоциональное отношение.;neg;
3721;Надменный ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
3722;Надменный ;0;ВЫСОКОМЕРИЕ; 8.6. Эмоциональная характеризация.;neg;
3723;Надобность; устар. ;НАДЕЖДА; 20.7. Эмоциональное качество.;pos;
3724;Надобный; устар. ;НАДЕЖДА; 20.6. Эмоциональная характеризация.;pos;
3725;Надоеда; разг. ;ГРУСТЬ; 10.8. Человек как средоточие и носитель эмоций.;neg;
3726;Надоедала; разг.-сниж. ;ГРУСТЬ; 10.8. Человек как средоточие и носитель эмоций.;neg;
3727;Надоедливо ;0;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3728;Надоедливость ;0;ГРУСТЬ; 10.7. Эмоциональное качество.;neg;
3729;Надоедливый ;0;ГРУСТЬ; 10.4. Эмоциональное воздействие.;neg;
3730;Надоедливый ;0;ГРУСТЬ; 10.6. Эмоциональная характеризация.;neg;
3731;Надоедный; разг.-сниж. ;ГРУСТЬ; 10.4. Эмоциональное воздействие.;neg;
3732;Надоедный; разг.-сниж. ;ГРУСТЬ; 10.6. Эмоциональная характеризация.;neg;
3733;Надокучить; сов., разг.-сниж. ;ГРУСТЬ; 10.4. Эмоциональное воздействие.;neg;
3736;Надоумить; сов., разг. ;БЕСПОКОЙСТВО; 1.4. Эмоциональное воздействие.;neg;
3737;Надругание ;0;ОБИДА; 26.2. Эмоциональное отношение.;neg;
3738;Надругательство; книжн. ;ОБИДА; 26.5. Внешнее выражение эмоций.;neg;
3739;Надругаться; книжн. ;ОБИДА; 26.2. Эмоциональное отношение.;neg;
3748;Назойливо ;0;ГРУСТЬ; 10.5. Внешнее выражение эмоций.;neg;
3754;Назола; разг.-сниж. ;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3755;Назола; разг.-сниж. ;ГРУСТЬ; 10.8. Человек как средоточие и носитель эмоций.;neg;
3756;Наивничать ;0;ИСКРЕННОСТЬ; 17.5. Внешнее выражение эмоций.;pos;
3757;Наивно ;0;ИСКРЕННОСТЬ; 17.5. Внешнее выражение эмоций.;pos;
3758;Наивность ;0;ИСКРЕННОСТЬ; 17.7. Эмоциональное качество.;pos;
3759;Наивность ;0;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
3760;Наивный ;0;ИСКРЕННОСТЬ; 17.6. Эмоциональная характеризация.;pos;
3761;Наивный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
3762;Наигранность ;0;НЕИСКРЕННОСТЬ; 24.7. Эмоциональное качество.;neg;
3763;Наигранный ;0;НЕИСКРЕННОСТЬ; 24.6. Эмоциональная характеризация.;neg;
3764;Наитие; книжн. ;ВДОХНОВЕНИЕ; 4.1. Эмоциональное состояние.;pos;
3768;Наклонность ;0;ВЛЕЧЕНИЕ; 6.2. Эмоциональное отношение.;pos;
3769;Наклонность ;0;ВЛЕЧЕНИЕ; 6.7. Эмоциональное качество.;pos;
3770;Наклонность ;0;ЛЮБОВЬ; 18.2. Эмоциональное отношение.;pos;
3771;Накричать ;0;НЕДОВОЛЬСТВО; 23.5. Внешнее выражение эмоций.;neg;
3772;Налюбоваться ;0;ОДОБРЕНИЕ; 28.2. Эмоциональное отношение.;pos;
3773;Намаять; сов., разг.-сниж. ;ГОРЕ; 9.4. Эмоциональное воздействие.;neg;
3774;Намерение ;0;ЖЕЛАНИЕ; 14.1. Эмоциональное состояние.;pos;
3775;Наморить; сов., разг.-сниж. ;ГОРЕ; 9.4. Эмоциональное воздействие.;neg;
3776;Намориться; сов., разг.-сниж. ;ГОРЕ; 9.3. Становление эмоционального состояния и отношения.;neg;
3777;Намучиться; сов. ;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3778;Намучиться; сов. ;ГРУСТЬ; 10.3. Становление эмоционального состояния и отношения.;neg;
3779;Намыкаться; сов. ;ГОРЕ; 9.3. Становление эмоционального состояния и отношения.;neg;
3780;Намыкаться; сов., разг. ;ГРУСТЬ; 10.3. Становление эмоционального состояния и отношения.;neg;
3781;Намытариться ;0;ГОРЕ; 9.3. Становление эмоционального состояния и отношения.;neg;
3782;Намытариться; сов., разг.-сниж. ;ГРУСТЬ; 10.3. Становление эмоционального состояния и отношения.;neg;
3783;Наперсник; устар. ;ДРУЖБА; 12.8. Человек как средоточие и носитель эмоций.;pos;
3784;Наперсница; устар. ;ДРУЖБА; 12.8. Человек как средоточие и носитель эмоций.;pos;
3785;Наперсница; устар. ;ЛЮБОВЬ; 18.8. Человек как средоточие и носитель эмоций.;pos;
3786;Наплакаться ;0;ГОРЕ; 9.3. Становление эмоционального состояния и отношения.;neg;
3787;Наплевательский; разг. ;РАВНОДУШИЕ; 29.5. Внешнее выражение эмоций.;neg;
3788;Наплевательский; разг. ;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
3791;Напор; разг. ;НАСТОЙЧИВОСТЬ; 21.7. Эмоциональное качество.;pos;
3792;Напористо; разг. ;НАСТОЙЧИВОСТЬ; 21.5. Внешнее выражение эмоций.;pos;
3793;Напористость; разг. ;НАСТОЙЧИВОСТЬ; 21.7. Эмоциональное качество.;pos;
3794;Напористый; разг. ;НАСТОЙЧИВОСТЬ; 21.6. Эмоциональная характеризация.;pos;
3795;Наприниматься ;0;ГОРЕ; 9.1. Эмоциональное состояние.;neg;
3796;Напряг; разг. -сниж. ;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
3797;Напряжение ;0;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
3798;Напряженность ;0;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
3799;Напряженный ;0;БЕСПОКОЙСТВО; 1.6. Эмоциональная характеризация.;neg;
3800;Напряженный ;0;ГОРЕ; 9.4. Эмоциональное воздействие.;neg;
3803;Напуганный; разг. ;СТРАХ; 34.1. Эмоциональное состояние.;neg;
3804;Напугать; сов. ;СТРАХ; 34.4. Эмоциональное воздействие.;neg;
3805;Напугаться; сов. ;СТРАХ; 34.3. Становление эмоционального состояния и отношения.;neg;
3806;Напускной; разг. ;НЕИСКРЕННОСТЬ; 22.5. Внешнее выражение эмоций.;neg;
3807;Напускной; разг. ;НЕИСКРЕННОСТЬ; 22.6. Эмоциональная характеризация.;neg;
3808;Напыщенно ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
3809;Напыщенность ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
3810;Напыщенный ;0;ВЫСОКОМЕРИЕ; 8.5. Внешнее выражение эмоций.;neg;
3811;Нарадоваться; сов. ;РАДОСТЬ; 30.3. Становление эмоционального состояния и отношения.;pos;
3812;Нарекание ;0;НЕПРИЯЗНЬ; 25.5. Внешнее выражение эмоций.;neg;
3813;Нарочито ;0;НЕИСКРЕННОСТЬ; 24.5. Внешнее выражение эмоций.;neg;
3814;Наругаться ;0;НЕПРИЯЗНЬ; 25.5. Внешнее выражение эмоций.;neg;
3815;Наскучаться ;0;ГРУСТЬ; 10.1. Эмоциональное состояние.;neg;
3816;Наслаждение ;0;СЧАСТЬЕ; 36.1. Эмоциональное состояние.;pos;
3817;Насмелиться; сов., разг.-сниж. ;БЕССТРАШИЕ; 2.3. Становление эмоционального состояния и отношения.;pos;
3819;Насмешить; сов. ;РАДОСТЬ; 30.4. Эмоциональное воздействие.;pos;
3827;Настойчиво ;0;НАСТОЙЧИВОСТЬ; 21.5. Внешнее выражение эмоций.;pos;
3828;Настойчивость ;0;НАСТОЙЧИВОСТЬ; 21.7. Эмоциональное качество.;pos;
3829;Настойчивый ;0;НАСТОЙЧИВОСТЬ; 21.2. Эмоциональное отношение.;pos;
3830;Настойчивый ;0;НАСТОЙЧИВОСТЬ; 21.5. Внешнее выражение эмоций.;pos;
3831;Настойчивый ;0;НАСТОЙЧИВОСТЬ; 21.6. Эмоциональная характеризация.;pos;
3832;Настороженный ;0;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
