;word;type;emotT;emotPT;X;
86;Антипатичный ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
87;Антипатия ;0;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
88;Антисемит ;0;НЕПРИЯЗНЬ; 25.8. Человек как средоточие и носитель эмоций.;neg;
89;Антисемитский ;0;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
90;Антисемитский ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
91;Апатично ;0;РАВНОДУШИЕ; 29.5. Внешнее выражение эмоций.;neg;
92;Апатический ;0;РАВНОДУШИЕ; 29.1. Эмоциональное состояние.;neg;
93;Апатический ;0;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
94;Апатичность ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
95;Апатичный ;0;ГРУСТЬ; 10.6. Эмоциональная характеризация.;neg;
96;Апатичный ;0;РАВНОДУШИЕ; 29.5. Внешнее выражение эмоций.;neg;
97;Апатичный ;0;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
98;Апатия ;0;РАВНОДУШИЕ; 29.1. Эмоциональное состояние.;neg;
99;Апатия ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
100;Аплодировать ;0;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
101;Аплодисменты ;0;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
102;Апломб ;0;ВЫСОКОМЕРИЕ; 8.7. Эмоциональное качество.;neg;
103;Аполитизм ;0;РАВНОДУШИЕ; 29.1. Эмоциональное состояние.;neg;
104;Аполитичность ;0;РАВНОДУШИЕ; 29.7. Эмоциональное качество.;neg;
105;Аполитичный ;0;РАВНОДУШИЕ; 29.6. Эмоциональная характеризация.;neg;
106;Апологетика; книжн. ;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
107;Апология; книжн. ;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
115;Арапистый; разг. ;БЕССТЫДСТВО; 3.6. Эмоциональная характеризация.;neg;
116;Артачиться; роза. ;НАСТОЙЧИВОСТЬ; 21.5. Внешнее выражение эмоций.;pos;
117;Артельный; разг.-сниж. ;ДРУЖБА; 12.2. Эмоциональное отношение.;pos;
118;Артельный; разг.-сниж. ;ДРУЖБА; 12.6. Эмоциональная характеризация.;pos;
119;Артист; разг. ;НЕИСКРЕННОСТЬ; 24.8. Человек как средоточие и носитель эмоций.;neg;
120;Артистка; разг. ;НЕИСКРЕННОСТЬ; 24.8. Человек как средоточие и носитель эмоций.;neg;
121;Аскетический ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
122;Аскетичность ;0;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
123;Аскетичный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
124;Аспид; устар. ;ГОРЕ; 9.6. Эмоциональная характеризация.;neg;
125;Аспид; устар. ;ГОРЕ; 9.8. Человек как средоточие и носитель эмоций.;neg;
126;Аспид; устар., разг.-сниж. ;ЗЛОСТЬ; 16.8. Человек как средоточие и носитель эмоций.;neg;
127;Аспидский; устар., разг.-сниж. ;ЗЛОСТЬ; 16.6. Эмоциональная характеризация.;neg;
128;Афронт; книжн. ;ОБИДА; 26.1. Эмоциональное состояние.;neg;
129;Аффект ;0;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
130;Актерствовать; устар. ;НЕИСКРЕННОСТЬ; 24.5. Внешнее выражение эмоций.;neg;
131;Активизация ;0;РАДОСТЬ; 30.4. Эмоциональное воздействие.;pos;
132;Активизировать; несов. и сов. ;РАДОСТЬ; 30.4. Эмоциональное воздействие.;pos;
133;Активизироваться; сов. ;РАДОСТЬ; 30.3. Становление эмоционального состояния и отношения.;pos;
134;Актриса; разг. ;НЕИСКРЕННОСТЬ; 24.8. Человек как средоточие и носитель эмоций.;neg;
135;Алармист; устар. ;СТРАХ; 34.8. Человек как средоточие и носитель эмоций.;neg;
137;Аллилуйщина; разг. ;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
138;Алчба; устар. ;НАДЕЖДА; 20.7. Эмоциональное качество.;pos;
